Instance,Method,Profit,Weight,NumItems,Time,Feasible
11I1.txt,Greedy_MaxProfit,31741,30761,98,0.001259,Yes
11I1.txt,Greedy_MinWeight,11919,10869,105,0.001491,Yes
11I1.txt,Greedy_MaxProfitWeight,11919,10869,105,0.001237,Yes
11I1.txt,Greedy_MinConflicts,25579,24409,117,0.001257,Yes
11I1.txt,GRASP_100_0.3,15604,14494,111,8.195354,Yes
11I2.txt,Greedy_MaxProfit,31272,30312,96,0.001188,Yes
11I2.txt,Greedy_MinWeight,11017,10017,100,0.001192,Yes
11I2.txt,Greedy_MaxProfitWeight,11017,10017,100,0.001134,Yes
11I2.txt,Greedy_MinConflicts,23407,22287,112,0.001166,Yes
11I2.txt,GRASP_100_0.3,15712,14632,108,8.038049,Yes
11I3.txt,Greedy_MaxProfit,31520,30520,100,0.001255,Yes
11I3.txt,Greedy_MinWeight,8492,7572,92,0.001130,Yes
11I3.txt,Greedy_MaxProfitWeight,8492,7572,92,0.001098,Yes
11I3.txt,Greedy_MinConflicts,22635,21535,110,0.001115,Yes
11I3.txt,GRASP_100_0.3,16181,15051,113,8.280836,Yes
11I4.txt,Greedy_MaxProfit,30799,29799,100,0.001164,Yes
11I4.txt,Greedy_MinWeight,10571,9561,101,0.001186,Yes
11I4.txt,Greedy_MaxProfitWeight,10571,9561,101,0.001088,Yes
11I4.txt,Greedy_MinConflicts,23345,22205,114,0.001134,Yes
11I4.txt,GRASP_100_0.3,16653,15533,112,8.027413,Yes
11I5.txt,Greedy_MaxProfit,31375,30355,102,0.001243,Yes
11I5.txt,Greedy_MinWeight,10002,8992,101,0.001172,Yes
11I5.txt,Greedy_MaxProfitWeight,10002,8992,101,0.001112,Yes
11I5.txt,Greedy_MinConflicts,24946,23776,117,0.001252,Yes
11I5.txt,GRASP_100_0.3,17310,16210,110,8.641676,Yes
12I1.txt,Greedy_MaxProfit,20040,19470,57,0.000764,Yes
12I1.txt,Greedy_MinWeight,5380,4800,58,0.000747,Yes
12I1.txt,Greedy_MaxProfitWeight,5380,4800,58,0.000694,Yes
12I1.txt,Greedy_MinConflicts,16118,15448,67,0.000733,Yes
12I1.txt,GRASP_100_0.3,8268,7628,64,2.827248,Yes
12I2.txt,Greedy_MaxProfit,18860,18280,58,0.000732,Yes
12I2.txt,Greedy_MinWeight,6066,5436,63,0.000807,Yes
12I2.txt,Greedy_MaxProfitWeight,6066,5436,63,0.000747,Yes
12I2.txt,Greedy_MinConflicts,13646,13006,64,0.000707,Yes
12I2.txt,GRASP_100_0.3,8364,7724,64,2.725716,Yes
12I3.txt,Greedy_MaxProfit,18921,18341,58,0.000794,Yes
12I3.txt,Greedy_MinWeight,4755,4175,58,0.000746,Yes
12I3.txt,Greedy_MaxProfitWeight,4755,4175,58,0.000746,Yes
12I3.txt,Greedy_MinConflicts,12245,11615,63,0.000725,Yes
12I3.txt,GRASP_100_0.3,8121,7471,65,2.894012,Yes
12I4.txt,Greedy_MaxProfit,18976,18406,57,0.000774,Yes
12I4.txt,Greedy_MinWeight,5842,5272,57,0.000744,Yes
12I4.txt,Greedy_MaxProfitWeight,5842,5272,57,0.000704,Yes
12I4.txt,Greedy_MinConflicts,13613,12953,66,0.000717,Yes
12I4.txt,GRASP_100_0.3,8467,7867,60,2.867202,Yes
12I5.txt,Greedy_MaxProfit,18478,17888,59,0.000772,Yes
12I5.txt,Greedy_MinWeight,5931,5331,60,0.000638,Yes
12I5.txt,Greedy_MaxProfitWeight,5931,5331,60,0.000634,Yes
12I5.txt,Greedy_MinConflicts,15000,14330,67,0.000736,Yes
12I5.txt,GRASP_100_0.3,8699,8079,62,2.808499,Yes
13I1.txt,Greedy_MaxProfit,13294,12894,40,0.000547,Yes
13I1.txt,Greedy_MinWeight,3431,2991,44,0.000579,Yes
