Instance,Method,Profit,Weight,NumItems,Time,Feasible
10I1,Greedy_MaxProfit,4110,3640,47,0.000306,Yes
10I1,Greedy_MinWeight,1493,1073,42,0.000221,Yes
10I1,Greedy_MaxProfitWeight,1493,1073,42,0.000211,Yes
10I1,Greedy_MinConflicts,2954,2454,50,0.000389,Yes
10I1,GRASP_100_0.3,2153,1633,52,0.816248,Yes
10I2,Greedy_MaxProfit,4087,3637,45,0.000325,Yes
10I2,Greedy_MinWeight,1549,1079,47,0.000227,Yes
10I2,Greedy_MaxProfitWeight,1549,1079,47,0.000217,Yes
10I2,Greedy_MinConflicts,2993,2483,51,0.000376,Yes
10I2,GRASP_100_0.3,1939,1449,49,0.774066,Yes
10I3,Greedy_MaxProfit,4277,3807,47,0.000348,Yes
10I3,Greedy_MinWeight,1186,756,43,0.000226,Yes
10I3,Greedy_MaxProfitWeight,1186,756,43,0.000234,Yes
10I3,Greedy_MinConflicts,2887,2397,49,0.000372,Yes
10I3,GRASP_100_0.3,1852,1352,50,0.708276,Yes
10I4,Greedy_MaxProfit,4430,3950,48,0.000321,Yes
10I4,Greedy_MinWeight,1162,752,41,0.000207,Yes
10I4,Greedy_MaxProfitWeight,1162,752,41,0.000192,Yes
10I4,Greedy_MinConflicts,3379,2889,49,0.000383,Yes
10I4,GRASP_100_0.3,2055,1565,49,0.792913,Yes
10I5,Greedy_MaxProfit,4032,3582,45,0.000338,Yes
10I5,Greedy_MinWeight,1047,657,39,0.000217,Yes
10I5,Greedy_MaxProfitWeight,1047,657,39,0.000201,Yes
10I5,Greedy_MinConflicts,2515,2035,48,0.000373,Yes
10I5,GRASP_100_0.3,1875,1405,47,0.706949,Yes
1I1,Greedy_MaxProfit,3322,2932,39,0.000165,Yes
1I1,Greedy_MinWeight,1234,840,34,0.000097,Yes
1I1,Greedy_MaxProfitWeight,1581,976,40,0.000116,Yes
1I1,Greedy_MinConflicts,2949,2442,42,0.000179,Yes
1I1,GRASP_100_0.3,2000,1375,42,0.284219,Yes
1I2,Greedy_MaxProfit,3254,2904,35,0.000145,Yes
1I2,Greedy_MinWeight,1325,814,39,0.000111,Yes
1I2,Greedy_MaxProfitWeight,1569,936,39,0.000130,Yes
1I2,Greedy_MinConflicts,2667,2187,42,0.000172,Yes
1I2,GRASP_100_0.3,2001,1298,43,0.325405,Yes
1I3,Greedy_MaxProfit,3220,2850,37,0.000153,Yes
1I3,Greedy_MinWeight,1335,945,39,0.000111,Yes
1I3,Greedy_MaxProfitWeight,1335,945,39,0.000111,Yes
1I3,Greedy_MinConflicts,2359,1929,43,0.000173,Yes
1I3,GRASP_100_0.3,1907,1467,44,0.282257,Yes
1I4,Greedy_MaxProfit,3437,3037,40,0.000238,Yes
1I4,Greedy_MinWeight,1256,886,37,0.000183,Yes
1I4,Greedy_MaxProfitWeight,1256,886,37,0.000142,Yes
1I4,Greedy_MinConflicts,2550,2140,41,0.000282,Yes
1I4,GRASP_100_0.3,1927,1527,40,0.288349,Yes
1I5,Greedy_MaxProfit,3421,3031,39,0.000151,Yes
1I5,Greedy_MinWeight,1684,1254,43,0.000121,Yes
1I5,Greedy_MaxProfitWeight,1684,1254,43,0.000118,Yes
1I5,Greedy_MinConflicts,2373,1973,40,0.000169,Yes
1I5,GRASP_100_0.3,2403,1923,48,0.311456,Yes
2I1,Greedy_MaxProfit,1753,1563,19,0.000082,Yes
2I1,Greedy_MinWeight,602,402,20,0.000064,Yes
2I1,Greedy_MaxProfitWeight,602,402,20,0.000054,Yes
2I1,Greedy_MinConflicts,1654,1384,27,0.000116,Yes
2I1,GRASP_100_0.3,1043,813,23,0.093103,Yes
2I2,Greedy_MaxProfit,1803,1603,20,0.000100,Yes
2I2,Greedy_MinWeight,663,443,22,0.000061,Yes
2I2,Greedy_MaxProfitWeight,663,443,22,0.000057,Yes
2I2,Greedy_MinConflicts,1530,1300,23,0.000116,Yes
2I2,GRASP_100_0.3,1172,932,24,0.091453,Yes
2I3,Greedy_MaxProfit,1851,1630,22,0.000121,Yes
2I3,Greedy_MinWeight,759,519,24,0.000089,Yes
2I3,Greedy_MaxProfitWeight,638,428,21,0.000086,Yes
2I3,Greedy_MinConflicts,1656,1416,24,0.000107,Yes
2I3,GRASP_100_0.3,867,616,25,0.096786,Yes
2I4,Greedy_MaxProfit,1985,1755,23,0.000108,Yes
2I4,Greedy_MinWeight,631,421,21,0.000061,Yes
2I4,Greedy_MaxProfitWeight,631,421,21,0.000069,Yes
2I4,Greedy_MinConflicts,1237,1017,22,0.000106,Yes
2I4,GRASP_100_0.3,778,558,22,0.085688,Yes
2I5,Greedy_MaxProfit,1979,1769,21,0.000105,Yes
2I5,Greedy_MinWeight,766,546,22,0.000061,Yes
2I5,Greedy_MaxProfitWeight,766,546,22,0.000058,Yes
2I5,Greedy_MinConflicts,1632,1382,25,0.000112,Yes
2I5,GRASP_100_0.3,1177,927,25,0.091490,Yes
3I1,Greedy_MaxProfit,1315,1175,14,0.000086,Yes
3I1,Greedy_MinWeight,258,128,13,0.000073,Yes
3I1,Greedy_MaxProfitWeight,258,128,13,0.000053,Yes
3I1,Greedy_MinConflicts,1273,1083,19,0.000088,Yes
3I1,GRASP_100_0.3,390,240,15,0.052036,Yes
3I2,Greedy_MaxProfit,1407,1257,15,0.000065,Yes
3I2,Greedy_MinWeight,536,376,16,0.000047,Yes
3I2,Greedy_MaxProfitWeight,536,376,16,0.000041,Yes
3I2,Greedy_MinConflicts,785,645,14,0.000082,Yes
3I2,GRASP_100_0.3,626,466,16,0.049846,Yes
3I3,Greedy_MaxProfit,1390,1250,14,0.000062,Yes
3I3,Greedy_MinWeight,425,255,17,0.000049,Yes
3I3,Greedy_MaxProfitWeight,425,255,17,0.000047,Yes
3I3,Greedy_MinConflicts,1016,856,16,0.000089,Yes
3I3,GRASP_100_0.3,612,452,16,0.048867,Yes
3I4,Greedy_MaxProfit,1396,1246,15,0.000065,Yes
3I4,Greedy_MinWeight,709,529,18,0.000051,Yes
3I4,Greedy_MaxProfitWeight,709,529,18,0.000043,Yes
3I4,Greedy_MinConflicts,1102,922,18,0.000089,Yes
3I4,GRASP_100_0.3,709,529,18,0.054577,Yes
3I5,Greedy_MaxProfit,1365,1215,15,0.000066,Yes
3I5,Greedy_MinWeight,390,250,14,0.000049,Yes
3I5,Greedy_MaxProfitWeight,390,250,14,0.000046,Yes
3I5,Greedy_MinConflicts,1122,952,17,0.000094,Yes
3I5,GRASP_100_0.3,826,646,18,0.052531,Yes
4I1,Greedy_MaxProfit,981,871,11,0.000054,Yes
4I1,Greedy_MinWeight,251,151,10,0.000046,Yes
4I1,Greedy_MaxProfitWeight,251,151,10,0.000035,Yes
4I1,Greedy_MinConflicts,800,690,11,0.000073,Yes
4I1,GRASP_100_0.3,467,337,13,0.036602,Yes
4I2,Greedy_MaxProfit,1118,1008,11,0.000056,Yes
4I2,Greedy_MinWeight,308,198,11,0.000042,Yes
4I2,Greedy_MaxProfitWeight,308,198,11,0.000034,Yes
4I2,Greedy_MinConflicts,645,535,11,0.000077,Yes
4I2,GRASP_100_0.3,408,298,11,0.034325,Yes
4I3,Greedy_MaxProfit,1109,999,11,0.000056,Yes
4I3,Greedy_MinWeight,413,303,11,0.000036,Yes
4I3,Greedy_MaxProfitWeight,413,303,11,0.000028,Yes
4I3,Greedy_MinConflicts,719,599,12,0.000072,Yes
4I3,GRASP_100_0.3,413,303,11,0.027883,Yes
4I4,Greedy_MaxProfit,1209,1089,12,0.000068,Yes
4I4,Greedy_MinWeight,377,267,11,0.000047,Yes
4I4,Greedy_MaxProfitWeight,377,267,11,0.000037,Yes
4I4,Greedy_MinConflicts,815,715,10,0.000072,Yes
4I4,GRASP_100_0.3,534,404,13,0.034081,Yes
4I5,Greedy_MaxProfit,859,759,10,0.000051,Yes
4I5,Greedy_MinWeight,207,107,10,0.000040,Yes
4I5,Greedy_MaxProfitWeight,207,107,10,0.000036,Yes
4I5,Greedy_MinConflicts,838,708,13,0.000074,Yes
4I5,GRASP_100_0.3,406,286,12,0.032210,Yes
5I1,Greedy_MaxProfit,6884,6084,80,0.000517,Yes
5I1,Greedy_MinWeight,2542,1772,77,0.000393,Yes
5I1,Greedy_MaxProfitWeight,2542,1772,77,0.000362,Yes
5I1,Greedy_MinConflicts,5519,4629,89,0.000629,Yes
5I1,GRASP_100_0.3,3103,2303,80,2.208640,Yes
5I2,Greedy_MaxProfit,6867,6097,77,0.000589,Yes
5I2,Greedy_MinWeight,2404,1674,73,0.000389,Yes
5I2,Greedy_MaxProfitWeight,2404,1674,73,0.000347,Yes
5I2,Greedy_MinConflicts,5395,4525,87,0.000629,Yes
5I2,GRASP_100_0.3,3501,2661,84,2.297570,Yes
5I3,Greedy_MaxProfit,6856,6076,78,0.000492,Yes
5I3,Greedy_MinWeight,2445,1685,76,0.000376,Yes
5I3,Greedy_MaxProfitWeight,2445,1685,76,0.000395,Yes
5I3,Greedy_MinConflicts,5134,4274,86,0.000615,Yes
5I3,GRASP_100_0.3,3322,2512,81,2.161020,Yes
5I4,Greedy_MaxProfit,6547,5777,77,0.000522,Yes
5I4,Greedy_MinWeight,2520,1770,75,0.000381,Yes
5I4,Greedy_MaxProfitWeight,2520,1770,75,0.000351,Yes
5I4,Greedy_MinConflicts,5284,4364,92,0.000655,Yes
5I4,GRASP_100_0.3,3525,2645,88,2.287271,Yes
5I5,Greedy_MaxProfit,6698,5928,77,0.000500,Yes
5I5,Greedy_MinWeight,2327,1597,73,0.000365,Yes
5I5,Greedy_MaxProfitWeight,2327,1597,73,0.000346,Yes
5I5,Greedy_MinConflicts,4935,4065,87,0.000623,Yes
5I5,GRASP_100_0.3,3312,2492,82,2.103139,Yes
6I1,Greedy_MaxProfit,6218,5528,69,0.000464,Yes
6I1,Greedy_MinWeight,1925,1275,65,0.000308,Yes
6I1,Greedy_MaxProfitWeight,1925,1275,65,0.000297,Yes
6I1,Greedy_MinConflicts,4734,3984,75,0.000541,Yes
