Instance,Method,Profit,Weight,NumItems,Time,Feasible
3I5,Greedy_MaxProfitWeight,390,250,14,0.000042,Yes
3I5,Greedy_MinConflicts,1122,952,17,0.000092,Yes
3I5,GRASP_100_0.3,826,646,18,0.054819,Yes
4I1,Greedy_MaxProfit,981,871,11,0.000057,Yes
4I1,Greedy_MinWeight,251,151,10,0.000047,Yes
4I1,Greedy_MaxProfitWeight,251,151,10,0.000043,Yes
4I1,Greedy_MinConflicts,800,690,11,0.000076,Yes
4I1,GRASP_100_0.3,467,337,13,0.036813,Yes
4I2,Greedy_MaxProfit,1118,1008,11,0.000054,Yes
4I2,Greedy_MinWeight,308,198,11,0.000047,Yes
4I2,Greedy_MaxProfitWeight,308,198,11,0.000038,Yes
4I2,Greedy_MinConflicts,645,535,11,0.000078,Yes
4I2,GRASP_100_0.3,408,298,11,0.035030,Yes
4I3,Greedy_MaxProfit,1109,999,11,0.000054,Yes
4I3,Greedy_MinWeight,413,303,11,0.000034,Yes
4I3,Greedy_MaxProfitWeight,413,303,11,0.000026,Yes
4I3,Greedy_MinConflicts,719,599,12,0.000070,Yes
4I3,GRASP_100_0.3,413,303,11,0.027268,Yes
4I4,Greedy_MaxProfit,1209,1089,12,0.000056,Yes
4I4,Greedy_MinWeight,377,267,11,0.000052,Yes
4I4,Greedy_MaxProfitWeight,377,267,11,0.000036,Yes
4I4,Greedy_MinConflicts,815,715,10,0.000074,Yes
4I4,GRASP_100_0.3,534,404,13,0.035534,Yes
4I5,Greedy_MaxProfit,859,759,10,0.000051,Yes
4I5,Greedy_MinWeight,207,107,10,0.000048,Yes
4I5,Greedy_MaxProfitWeight,207,107,10,0.000039,Yes
4I5,Greedy_MinConflicts,838,708,13,0.000078,Yes
4I5,GRASP_100_0.3,406,286,12,0.032945,Yes
5I1,Greedy_MaxProfit,6884,6084,80,0.000518,Yes
5I1,Greedy_MinWeight,2542,1772,77,0.000386,Yes
5I1,Greedy_MaxProfitWeight,2542,1772,77,0.000367,Yes
5I1,Greedy_MinConflicts,5519,4629,89,0.000647,Yes
5I1,GRASP_100_0.3,3103,2303,80,2.256623,Yes
5I2,Greedy_MaxProfit,6867,6097,77,0.000470,Yes
5I2,Greedy_MinWeight,2404,1674,73,0.000360,Yes
5I2,Greedy_MaxProfitWeight,2404,1674,73,0.000340,Yes
5I2,Greedy_MinConflicts,5395,4525,87,0.000609,Yes
5I2,GRASP_100_0.3,3501,2661,84,2.329778,Yes
5I3,Greedy_MaxProfit,6856,6076,78,0.000519,Yes
5I3,Greedy_MinWeight,2445,1685,76,0.000373,Yes
5I3,Greedy_MaxProfitWeight,2445,1685,76,0.000341,Yes
5I3,Greedy_MinConflicts,5134,4274,86,0.000621,Yes
5I3,GRASP_100_0.3,3322,2512,81,2.190378,Yes
5I4,Greedy_MaxProfit,6547,5777,77,0.000541,Yes
5I4,Greedy_MinWeight,2520,1770,75,0.000375,Yes
5I4,Greedy_MaxProfitWeight,2520,1770,75,0.000347,Yes
5I4,Greedy_MinConflicts,5284,4364,92,0.000671,Yes
5I4,GRASP_100_0.3,3525,2645,88,2.368585,Yes
5I5,Greedy_MaxProfit,6698,5928,77,0.000519,Yes
5I5,Greedy_MinWeight,2327,1597,73,0.000368,Yes
5I5,Greedy_MaxProfitWeight,2327,1597,73,0.000353,Yes
5I5,Greedy_MinConflicts,4935,4065,87,0.000624,Yes
5I5,GRASP_100_0.3,3312,2492,82,2.152327,Yes
6I1,Greedy_MaxProfit,6218,5528,69,0.000489,Yes
6I1,Greedy_MinWeight,1925,1275,65,0.000323,Yes
6I1,Greedy_MaxProfitWeight,1925,1275,65,0.000296,Yes
6I1,Greedy_MinConflicts,4734,3984,75,0.000530,Yes
6I1,GRASP_100_0.3,2852,2122,73,1.711487,Yes
6I2,Greedy_MaxProfit,6124,5424,70,0.000463,Yes
6I2,Greedy_MinWeight,1973,1303,67,0.000327,Yes
6I2,Greedy_MaxProfitWeight,1973,1303,67,0.000318,Yes
6I2,Greedy_MinConflicts,4587,3807,78,0.000559,Yes
6I2,GRASP_100_0.3,2727,2017,71,1.668282,Yes
6I3,Greedy_MaxProfit,6008,5298,71,0.000476,Yes
6I3,Greedy_MinWeight,2383,1713,67,0.000332,Yes
6I3,Greedy_MaxProfitWeight,2383,1713,67,0.000346,Yes
6I3,Greedy_MinConflicts,4452,3682,77,0.000537,Yes
6I3,GRASP_100_0.3,3174,2444,73,1.725401,Yes
6I4,Greedy_MaxProfit,6319,5609,71,0.000471,Yes
6I4,Greedy_MinWeight,2039,1399,64,0.000324,Yes
6I4,Greedy_MaxProfitWeight,2039,1399,64,0.000289,Yes
6I4,Greedy_MinConflicts,4932,4182,75,0.000539,Yes
6I4,GRASP_100_0.3,2837,2107,73,1.626416,Yes
6I5,Greedy_MaxProfit,5980,5310,67,0.000444,Yes
6I5,Greedy_MinWeight,2685,2005,68,0.000316,Yes
6I5,Greedy_MaxProfitWeight,2685,2005,68,0.000314,Yes
6I5,Greedy_MinConflicts,4418,3658,76,0.000519,Yes
6I5,GRASP_100_0.3,3180,2460,72,1.639962,Yes
7I1,Greedy_MaxProfit,5253,4653,60,0.000409,Yes
7I1,Greedy_MinWeight,2262,1652,61,0.000292,Yes
7I1,Greedy_MaxProfitWeight,2262,1652,61,0.000285,Yes
7I1,Greedy_MinConflicts,4146,3476,67,0.000491,Yes
7I1,GRASP_100_0.3,2845,2175,67,1.474182,Yes
7I2,Greedy_MaxProfit,5429,4859,57,0.000414,Yes
7I2,Greedy_MinWeight,1809,1229,58,0.000291,Yes
7I2,Greedy_MaxProfitWeight,1809,1229,58,0.000284,Yes
7I2,Greedy_MinConflicts,3614,2974,64,0.000484,Yes
7I2,GRASP_100_0.3,2494,1854,64,1.338290,Yes
7I3,Greedy_MaxProfit,5228,4618,61,0.000440,Yes
7I3,Greedy_MinWeight,1844,1274,57,0.000298,Yes
7I3,Greedy_MaxProfitWeight,1844,1274,57,0.000270,Yes
7I3,Greedy_MinConflicts,3886,3246,64,0.000469,Yes
7I3,GRASP_100_0.3,2291,1661,63,1.280418,Yes
7I4,Greedy_MaxProfit,4793,4203,59,0.000388,Yes
7I4,Greedy_MinWeight,1718,1148,57,0.000286,Yes
7I4,Greedy_MaxProfitWeight,1718,1148,57,0.000268,Yes
7I4,Greedy_MinConflicts,3950,3260,69,0.000502,Yes
7I4,GRASP_100_0.3,2455,1765,69,1.422330,Yes
7I5,Greedy_MaxProfit,5617,4987,63,0.000401,Yes
7I5,Greedy_MinWeight,1893,1293,60,0.000296,Yes
7I5,Greedy_MaxProfitWeight,1893,1293,60,0.000260,Yes
7I5,Greedy_MinConflicts,3766,3096,67,0.000477,Yes
7I5,GRASP_100_0.3,2711,2071,64,1.297228,Yes
8I1,Greedy_MaxProfit,4651,4141,51,0.000346,Yes
8I1,Greedy_MinWeight,1597,1057,54,0.000270,Yes
8I1,Greedy_MaxProfitWeight,1597,1057,54,0.000252,Yes
8I1,Greedy_MinConflicts,3561,2971,59,0.000438,Yes
8I1,GRASP_100_0.3,2386,1776,61,1.180540,Yes
8I2,Greedy_MaxProfit,5178,4598,58,0.000337,Yes
8I2,Greedy_MinWeight,1997,1417,58,0.000271,Yes
8I2,Greedy_MaxProfitWeight,1997,1417,58,0.000253,Yes
8I2,Greedy_MinConflicts,3469,2889,58,0.000426,Yes
8I2,GRASP_100_0.3,2291,1691,60,1.180471,Yes
8I3,Greedy_MaxProfit,4268,3738,53,0.000412,Yes
8I3,Greedy_MinWeight,1435,935,50,0.000297,Yes
8I3,Greedy_MaxProfitWeight,1435,935,50,0.000245,Yes
8I3,Greedy_MinConflicts,3122,2542,58,0.000451,Yes
8I3,GRASP_100_0.3,2151,1571,58,1.151949,Yes
8I4,Greedy_MaxProfit,5145,4595,55,0.000466,Yes
8I4,Greedy_MinWeight,1257,767,49,0.000341,Yes
8I4,Greedy_MaxProfitWeight,1257,767,49,0.000260,Yes
8I4,Greedy_MinConflicts,3259,2709,55,0.000450,Yes
8I4,GRASP_100_0.3,2100,1510,59,0.998116,Yes
8I5,Greedy_MaxProfit,5056,4496,56,0.000398,Yes
8I5,Greedy_MinWeight,1818,1298,52,0.000285,Yes
8I5,Greedy_MaxProfitWeight,1818,1298,52,0.000239,Yes
8I5,Greedy_MinConflicts,3271,2711,56,0.000425,Yes
8I5,GRASP_100_0.3,2160,1580,58,1.031942,Yes
9I1,Greedy_MaxProfit,4591,4071,52,0.000360,Yes
9I1,Greedy_MinWeight,1640,1140,50,0.000261,Yes
9I1,Greedy_MaxProfitWeight,1640,1140,50,0.000223,Yes
9I1,Greedy_MinConflicts,3097,2577,52,0.000386,Yes
9I1,GRASP_100_0.3,2181,1621,56,0.917194,Yes
9I2,Greedy_MaxProfit,4240,3770,47,0.000322,Yes
9I2,Greedy_MinWeight,1326,846,48,0.000233,Yes
9I2,Greedy_MaxProfitWeight,1326,846,48,0.000229,Yes
9I2,Greedy_MinConflicts,2916,2386,53,0.000398,Yes
9I2,GRASP_100_0.3,2265,1705,56,0.987909,Yes
9I3,Greedy_MaxProfit,4383,3903,48,0.000342,Yes
9I3,Greedy_MinWeight,2062,1542,52,0.000246,Yes
9I3,Greedy_MaxProfitWeight,2062,1542,52,0.000237,Yes
9I3,Greedy_MinConflicts,3239,2669,57,0.000400,Yes
9I3,GRASP_100_0.3,2143,1603,54,0.901826,Yes
9I4,Greedy_MaxProfit,4654,4124,53,0.000406,Yes
9I4,Greedy_MinWeight,1329,879,45,0.000247,Yes
9I4,Greedy_MaxProfitWeight,1329,879,45,0.000234,Yes
9I4,Greedy_MinConflicts,3405,2825,58,0.000423,Yes
9I4,GRASP_100_0.3,1870,1380,49,0.867489,Yes
9I5,Greedy_MaxProfit,4308,3828,48,0.000330,Yes
9I5,Greedy_MinWeight,1763,1273,49,0.000240,Yes
9I5,Greedy_MaxProfitWeight,1763,1273,49,0.000245,Yes
9I5,Greedy_MinConflicts,3517,2967,55,0.000402,Yes
9I5,GRASP_100_0.3,2051,1521,53,0.910055,Yes
11I1.txt,Greedy_MaxProfit,31741,30761,98,0.001263,Yes
11I1.txt,Greedy_MinWeight,11919,10869,105,0.001254,Yes
