Instance,Method,Profit,Weight,NumItems,Time,Feasible
3I4,Greedy_MaxProfitWeight,709,529,18,0.000051,Yes
3I4,Greedy_MinConflicts,1102,922,18,0.000085,Yes
3I4,GRASP_MultiStart_100_alpha0.300000,709,529,18,0.057197,Yes
3I5,Greedy_MaxProfit,1365,1215,15,0.000073,Yes
3I5,Greedy_MinWeight,390,250,14,0.000058,Yes
3I5,Greedy_MaxProfitWeight,390,250,14,0.000076,Yes
3I5,Greedy_MinConflicts,1122,952,17,0.000089,Yes
3I5,GRASP_MultiStart_100_alpha0.300000,826,646,18,0.052672,Yes
4I1,Greedy_MaxProfit,981,871,11,0.000055,Yes
4I1,Greedy_MinWeight,251,151,10,0.000045,Yes
4I1,Greedy_MaxProfitWeight,251,151,10,0.000042,Yes
4I1,Greedy_MinConflicts,800,690,11,0.000067,Yes
4I1,GRASP_MultiStart_100_alpha0.300000,467,337,13,0.038172,Yes
4I2,Greedy_MaxProfit,1118,1008,11,0.000065,Yes
4I2,Greedy_MinWeight,308,198,11,0.000050,Yes
4I2,Greedy_MaxProfitWeight,308,198,11,0.000045,Yes
4I2,Greedy_MinConflicts,645,535,11,0.000070,Yes
4I2,GRASP_MultiStart_100_alpha0.300000,408,298,11,0.034417,Yes
4I3,Greedy_MaxProfit,1109,999,11,0.000061,Yes
4I3,Greedy_MinWeight,413,303,11,0.000040,Yes
4I3,Greedy_MaxProfitWeight,413,303,11,0.000028,Yes
4I3,Greedy_MinConflicts,719,599,12,0.000067,Yes
4I3,GRASP_MultiStart_100_alpha0.300000,413,303,11,0.029792,Yes
4I4,Greedy_MaxProfit,1209,1089,12,0.000061,Yes
4I4,Greedy_MinWeight,377,267,11,0.000053,Yes
4I4,Greedy_MaxProfitWeight,377,267,11,0.000041,Yes
4I4,Greedy_MinConflicts,815,715,10,0.000068,Yes
4I4,GRASP_MultiStart_100_alpha0.300000,534,404,13,0.034636,Yes
4I5,Greedy_MaxProfit,859,759,10,0.000058,Yes
4I5,Greedy_MinWeight,207,107,10,0.000046,Yes
4I5,Greedy_MaxProfitWeight,207,107,10,0.000037,Yes
4I5,Greedy_MinConflicts,838,708,13,0.000071,Yes
4I5,GRASP_MultiStart_100_alpha0.300000,406,286,12,0.032459,Yes
5I1,Greedy_MaxProfit,6884,6084,80,0.000519,Yes
5I1,Greedy_MinWeight,2542,1772,77,0.000387,Yes
5I1,Greedy_MaxProfitWeight,2542,1772,77,0.000580,Yes
5I1,Greedy_MinConflicts,5519,4629,89,0.000582,Yes
5I1,GRASP_MultiStart_100_alpha0.300000,3138,2328,81,2.240466,Yes
5I2,Greedy_MaxProfit,6867,6097,77,0.000445,Yes
5I2,Greedy_MinWeight,2404,1674,73,0.000371,Yes
5I2,Greedy_MaxProfitWeight,2404,1674,73,0.000350,Yes
5I2,Greedy_MinConflicts,5395,4525,87,0.000566,Yes
5I2,GRASP_MultiStart_100_alpha0.300000,3501,2661,84,2.306401,Yes
5I3,Greedy_MaxProfit,6856,6076,78,0.000696,Yes
5I3,Greedy_MinWeight,2445,1685,76,0.000378,Yes
5I3,Greedy_MaxProfitWeight,2445,1685,76,0.000358,Yes
5I3,Greedy_MinConflicts,5134,4274,86,0.000569,Yes
5I3,GRASP_MultiStart_100_alpha0.300000,3322,2512,81,2.201461,Yes
5I4,Greedy_MaxProfit,6547,5777,77,0.000508,Yes
5I4,Greedy_MinWeight,2520,1770,75,0.000377,Yes
5I4,Greedy_MaxProfitWeight,2520,1770,75,0.000352,Yes
5I4,Greedy_MinConflicts,5284,4364,92,0.000613,Yes
5I4,GRASP_MultiStart_100_alpha0.300000,3525,2645,88,2.312476,Yes
5I5,Greedy_MaxProfit,6698,5928,77,0.000440,Yes
5I5,Greedy_MinWeight,2327,1597,73,0.000355,Yes
5I5,Greedy_MaxProfitWeight,2327,1597,73,0.000336,Yes
5I5,Greedy_MinConflicts,4935,4065,87,0.000575,Yes
5I5,GRASP_MultiStart_100_alpha0.300000,3312,2492,82,2.139924,Yes
6I1,Greedy_MaxProfit,6218,5528,69,0.000421,Yes
6I1,Greedy_MinWeight,1925,1275,65,0.000321,Yes
6I1,Greedy_MaxProfitWeight,1925,1275,65,0.000307,Yes
6I1,Greedy_MinConflicts,4734,3984,75,0.000524,Yes
6I1,GRASP_MultiStart_100_alpha0.300000,2852,2122,73,1.752421,Yes
6I2,Greedy_MaxProfit,6124,5424,70,0.000452,Yes
6I2,Greedy_MinWeight,1973,1303,67,0.000348,Yes
6I2,Greedy_MaxProfitWeight,1973,1303,67,0.000329,Yes
6I2,Greedy_MinConflicts,4587,3807,78,0.000529,Yes
6I2,GRASP_MultiStart_100_alpha0.300000,2727,2017,71,1.677065,Yes
6I3,Greedy_MaxProfit,6008,5298,71,0.000480,Yes
6I3,Greedy_MinWeight,2383,1713,67,0.000339,Yes
6I3,Greedy_MaxProfitWeight,2383,1713,67,0.000319,Yes
6I3,Greedy_MinConflicts,4452,3682,77,0.000538,Yes
6I3,GRASP_MultiStart_100_alpha0.300000,3174,2444,73,1.697193,Yes
6I4,Greedy_MaxProfit,6319,5609,71,0.000498,Yes
6I4,Greedy_MinWeight,2039,1399,64,0.000354,Yes
6I4,Greedy_MaxProfitWeight,2039,1399,64,0.000302,Yes
6I4,Greedy_MinConflicts,4932,4182,75,0.000531,Yes
6I4,GRASP_MultiStart_100_alpha0.300000,2837,2107,73,1.628423,Yes
6I5,Greedy_MaxProfit,5980,5310,67,0.000445,Yes
6I5,Greedy_MinWeight,2685,2005,68,0.000346,Yes
6I5,Greedy_MaxProfitWeight,2685,2005,68,0.000332,Yes
6I5,Greedy_MinConflicts,4418,3658,76,0.000497,Yes
6I5,GRASP_MultiStart_100_alpha0.300000,3126,2406,72,1.640215,Yes
7I1,Greedy_MaxProfit,5253,4653,60,0.000371,Yes
7I1,Greedy_MinWeight,2262,1652,61,0.000302,Yes
7I1,Greedy_MaxProfitWeight,2262,1652,61,0.000284,Yes
7I1,Greedy_MinConflicts,4146,3476,67,0.000462,Yes
7I1,GRASP_MultiStart_100_alpha0.300000,2845,2175,67,1.458665,Yes
7I2,Greedy_MaxProfit,5429,4859,57,0.000375,Yes
7I2,Greedy_MinWeight,1809,1229,58,0.000318,Yes
7I2,Greedy_MaxProfitWeight,1809,1229,58,0.000291,Yes
7I2,Greedy_MinConflicts,3614,2974,64,0.000452,Yes
7I2,GRASP_MultiStart_100_alpha0.300000,2494,1854,64,1.338871,Yes
7I3,Greedy_MaxProfit,5228,4618,61,0.000455,Yes
7I3,Greedy_MinWeight,1844,1274,57,0.000324,Yes
7I3,Greedy_MaxProfitWeight,1844,1274,57,0.000280,Yes
7I3,Greedy_MinConflicts,3886,3246,64,0.000453,Yes
7I3,GRASP_MultiStart_100_alpha0.300000,2291,1661,63,1.281728,Yes
7I4,Greedy_MaxProfit,4793,4203,59,0.000356,Yes
7I4,Greedy_MinWeight,1718,1148,57,0.000303,Yes
7I4,Greedy_MaxProfitWeight,1718,1148,57,0.000303,Yes
7I4,Greedy_MinConflicts,3950,3260,69,0.000484,Yes
7I4,GRASP_MultiStart_100_alpha0.300000,2455,1765,69,1.391399,Yes
7I5,Greedy_MaxProfit,5617,4987,63,0.000383,Yes
7I5,Greedy_MinWeight,1893,1293,60,0.000359,Yes
7I5,Greedy_MaxProfitWeight,1893,1293,60,0.000285,Yes
7I5,Greedy_MinConflicts,3766,3096,67,0.000462,Yes
7I5,GRASP_MultiStart_100_alpha0.300000,2711,2071,64,1.305693,Yes
8I1,Greedy_MaxProfit,4651,4141,51,0.000369,Yes
8I1,Greedy_MinWeight,1597,1057,54,0.000405,Yes
8I1,Greedy_MaxProfitWeight,1597,1057,54,0.000374,Yes
8I1,Greedy_MinConflicts,3561,2971,59,0.000551,Yes
8I1,GRASP_MultiStart_100_alpha0.300000,2386,1776,61,1.178027,Yes
8I2,Greedy_MaxProfit,5178,4598,58,0.000374,Yes
8I2,Greedy_MinWeight,1997,1417,58,0.000290,Yes
8I2,Greedy_MaxProfitWeight,1997,1417,58,0.000267,Yes
8I2,Greedy_MinConflicts,3469,2889,58,0.000413,Yes
8I2,GRASP_MultiStart_100_alpha0.300000,2291,1691,60,1.152745,Yes
8I3,Greedy_MaxProfit,4268,3738,53,0.000351,Yes
8I3,Greedy_MinWeight,1435,935,50,0.000306,Yes
8I3,Greedy_MaxProfitWeight,1435,935,50,0.000275,Yes
8I3,Greedy_MinConflicts,3122,2542,58,0.000427,Yes
8I3,GRASP_MultiStart_100_alpha0.300000,2151,1571,58,1.128745,Yes
8I4,Greedy_MaxProfit,5145,4595,55,0.000369,Yes
8I4,Greedy_MinWeight,1257,767,49,0.000262,Yes
8I4,Greedy_MaxProfitWeight,1257,767,49,0.000222,Yes
8I4,Greedy_MinConflicts,3259,2709,55,0.000413,Yes
8I4,GRASP_MultiStart_100_alpha0.300000,2100,1510,59,0.996671,Yes
8I5,Greedy_MaxProfit,5056,4496,56,0.000345,Yes
8I5,Greedy_MinWeight,1818,1298,52,0.000262,Yes
8I5,Greedy_MaxProfitWeight,1818,1298,52,0.000397,Yes
8I5,Greedy_MinConflicts,3271,2711,56,0.000413,Yes
8I5,GRASP_MultiStart_100_alpha0.300000,2160,1580,58,1.049107,Yes
9I1,Greedy_MaxProfit,4591,4071,52,0.000320,Yes
9I1,Greedy_MinWeight,1640,1140,50,0.000243,Yes
9I1,Greedy_MaxProfitWeight,1640,1140,50,0.000230,Yes
9I1,Greedy_MinConflicts,3097,2577,52,0.000378,Yes
9I1,GRASP_MultiStart_100_alpha0.300000,2181,1621,56,0.916398,Yes
