Instance,Method,Profit,Weight,NumItems,Time,Feasible
10I1,GRASP_Inicial,2153,1633,52,0.861490,Yes
10I1,HillClimbing,4324,3804,52,0.455137,Yes
10I1,VND,4068,3548,52,0.548947,Yes
10I2,GRASP_Inicial,1939,1449,49,0.805471,Yes
10I2,HillClimbing,4009,3519,49,0.405288,Yes
10I2,VND,4218,3648,57,0.471178,Yes
10I3,GRASP_Inicial,1852,1352,50,0.712547,Yes
10I3,HillClimbing,3616,3116,50,0.288205,Yes
10I3,VND,3794,3294,50,0.419948,Yes
10I4,GRASP_Inicial,2055,1565,49,0.795477,Yes
10I4,HillClimbing,3895,3405,49,0.346985,Yes
10I4,VND,4107,3577,53,0.449952,Yes
10I5,GRASP_Inicial,1875,1405,47,0.719630,Yes
10I5,HillClimbing,4027,3557,47,0.428204,Yes
10I5,VND,3581,3081,50,0.281626,Yes
1I1,GRASP_Inicial,2000,1375,42,0.282547,Yes
1I1,HillClimbing,3360,2859,42,0.075905,Yes
1I1,VND,3562,2947,49,0.090570,Yes
1I2,GRASP_Inicial,2001,1298,43,0.320959,Yes
1I2,HillClimbing,3262,2679,43,0.073319,Yes
1I2,VND,3549,2989,47,0.096685,Yes
1I3,GRASP_Inicial,1907,1467,44,0.281887,Yes
1I3,HillClimbing,2910,2470,44,0.046447,Yes
1I3,VND,3017,2577,44,0.065814,Yes
1I4,GRASP_Inicial,1927,1527,40,0.280307,Yes
1I4,HillClimbing,3482,3082,40,0.069571,Yes
1I4,VND,3701,3241,46,0.082835,Yes
1I5,GRASP_Inicial,2403,1923,48,0.315242,Yes
1I5,HillClimbing,3188,2708,48,0.047170,Yes
1I5,VND,3396,2896,50,0.068319,Yes
2I1,GRASP_Inicial,1043,813,23,0.096094,Yes
2I1,HillClimbing,1980,1750,23,0.012407,Yes
2I1,VND,2128,1878,25,0.016756,Yes
2I2,GRASP_Inicial,1172,932,24,0.092864,Yes
2I2,HillClimbing,1976,1736,24,0.013789,Yes
2I2,VND,2010,1760,25,0.014915,Yes
2I3,GRASP_Inicial,867,616,25,0.098300,Yes
2I3,HillClimbing,1480,1229,25,0.009546,Yes
2I3,VND,1875,1644,22,0.028990,Yes
2I4,GRASP_Inicial,778,558,22,0.086518,Yes
2I4,HillClimbing,2001,1781,22,0.017688,Yes
2I4,VND,1904,1674,23,0.023544,Yes
2I5,GRASP_Inicial,1177,927,25,0.095738,Yes
2I5,HillClimbing,1923,1673,25,0.015528,Yes
2I5,VND,1985,1715,27,0.016234,Yes
3I1,GRASP_Inicial,390,240,15,0.052893,Yes
3I1,HillClimbing,1367,1217,15,0.007790,Yes
3I1,VND,1385,1205,18,0.006587,Yes
3I2,GRASP_Inicial,626,466,16,0.050667,Yes
3I2,HillClimbing,1270,1110,16,0.005109,Yes
3I2,VND,1391,1201,19,0.006265,Yes
3I3,GRASP_Inicial,612,452,16,0.049634,Yes
3I3,HillClimbing,1304,1144,16,0.007660,Yes
3I3,VND,1437,1267,17,0.008936,Yes
3I4,GRASP_Inicial,709,529,18,0.055974,Yes
