Instance,Method,Profit,Weight,NumItems,Time,Feasible
10I1,GRASP_Inicial,2153,1633,52,0.819142,Yes
10I1,HillClimbing,4324,3804,52,0.473971,Yes
10I1,VND,4068,3548,52,0.559829,Yes
10I2,GRASP_Inicial,1939,1449,49,0.775676,Yes
10I2,HillClimbing,4009,3519,49,0.417881,Yes
10I2,VND,4218,3648,57,0.470799,Yes
10I3,GRASP_Inicial,1852,1352,50,0.703670,Yes
10I3,HillClimbing,3616,3116,50,0.291474,Yes
10I3,VND,3794,3294,50,0.422472,Yes
10I4,GRASP_Inicial,2055,1565,49,0.786338,Yes
10I4,HillClimbing,3895,3405,49,0.362378,Yes
10I4,VND,4107,3577,53,0.449289,Yes
10I5,GRASP_Inicial,1875,1405,47,0.720268,Yes
10I5,HillClimbing,4027,3557,47,0.438926,Yes
10I5,VND,3581,3081,50,0.300055,Yes
1I1,GRASP_Inicial,2000,1375,42,0.294601,Yes
1I1,HillClimbing,3360,2859,42,0.090381,Yes
1I1,VND,3562,2947,49,0.100671,Yes
1I2,GRASP_Inicial,2001,1298,43,0.325076,Yes
1I2,HillClimbing,3262,2679,43,0.088494,Yes
1I2,VND,3549,2989,47,0.101133,Yes
1I3,GRASP_Inicial,1907,1467,44,0.278584,Yes
1I3,HillClimbing,2910,2470,44,0.054136,Yes
1I3,VND,3017,2577,44,0.066943,Yes
1I4,GRASP_Inicial,1927,1527,40,0.284380,Yes
1I4,HillClimbing,3482,3082,40,0.080524,Yes
1I4,VND,3701,3241,46,0.082634,Yes
1I5,GRASP_Inicial,2403,1923,48,0.312336,Yes
1I5,HillClimbing,3188,2708,48,0.056199,Yes
1I5,VND,3396,2896,50,0.071938,Yes
2I1,GRASP_Inicial,1043,813,23,0.094150,Yes
2I1,HillClimbing,1980,1750,23,0.013910,Yes
2I1,VND,2128,1878,25,0.016827,Yes
2I2,GRASP_Inicial,1172,932,24,0.091564,Yes
2I2,HillClimbing,1976,1736,24,0.015937,Yes
2I2,VND,2010,1760,25,0.016361,Yes
2I3,GRASP_Inicial,867,616,25,0.097511,Yes
2I3,HillClimbing,1480,1229,25,0.010879,Yes
2I3,VND,1875,1644,22,0.030374,Yes
2I4,GRASP_Inicial,778,558,22,0.086463,Yes
2I4,HillClimbing,2001,1781,22,0.019858,Yes
2I4,VND,1904,1674,23,0.023873,Yes
2I5,GRASP_Inicial,1177,927,25,0.092993,Yes
2I5,HillClimbing,1923,1673,25,0.017227,Yes
2I5,VND,1985,1715,27,0.016057,Yes
3I1,GRASP_Inicial,390,240,15,0.053944,Yes
3I1,HillClimbing,1367,1217,15,0.009629,Yes
3I1,VND,1385,1205,18,0.007278,Yes
3I2,GRASP_Inicial,626,466,16,0.050292,Yes
3I2,HillClimbing,1270,1110,16,0.006043,Yes
3I2,VND,1391,1201,19,0.006363,Yes
3I3,GRASP_Inicial,612,452,16,0.049665,Yes
3I3,HillClimbing,1304,1144,16,0.008729,Yes
3I3,VND,1437,1267,17,0.009151,Yes
3I4,GRASP_Inicial,709,529,18,0.055215,Yes
3I4,HillClimbing,1037,857,18,0.002605,Yes
3I4,VND,1346,1186,16,0.006687,Yes
3I5,GRASP_Inicial,826,646,18,0.054039,Yes
3I5,HillClimbing,1334,1154,18,0.006353,Yes
3I5,VND,1341,1171,17,0.008130,Yes
