Instance,Method,Profit,Weight,NumItems,Time,Feasible
10I1,GRASP_Inicial,2153,1633,52,0.821983,Yes
10I1,ILS,4551,3991,56,3.443263,Yes
10I1,VNS,4641,4091,55,7.548997,Yes
10I2,GRASP_Inicial,1939,1449,49,0.782693,Yes
10I2,ILS,4363,3763,60,4.011676,Yes
10I2,VNS,4703,4133,57,10.607792,Yes
10I3,GRASP_Inicial,1852,1352,50,0.715920,Yes
10I3,ILS,4377,3837,54,2.867296,Yes
10I3,VNS,4242,3702,54,7.895322,Yes
10I4,GRASP_Inicial,2055,1565,49,0.790814,Yes
10I4,ILS,4412,3852,56,3.243401,Yes
10I4,VNS,4606,4026,58,8.088402,Yes
10I5,GRASP_Inicial,1875,1405,47,0.715391,Yes
10I5,ILS,4363,3813,55,2.936257,Yes
10I5,VNS,3971,3441,53,9.065359,Yes
1I1,GRASP_Inicial,2000,1375,42,0.287983,Yes
1I1,ILS,3743,3126,52,0.917180,Yes
1I1,VNS,3770,3135,51,2.397934,Yes
1I2,GRASP_Inicial,2001,1298,43,0.322471,Yes
1I2,ILS,3682,3122,50,0.922233,Yes
1I2,VNS,3682,3122,50,2.709431,Yes
1I3,GRASP_Inicial,1907,1467,44,0.280882,Yes
1I3,ILS,3394,2934,46,0.828814,Yes
1I3,VNS,3503,3023,48,2.167481,Yes
1I4,GRASP_Inicial,1927,1527,40,0.292715,Yes
1I4,ILS,3720,3250,47,0.722762,Yes
1I4,VNS,3701,3241,46,1.917134,Yes
1I5,GRASP_Inicial,2403,1923,48,0.312129,Yes
1I5,ILS,3474,2974,50,1.113393,Yes
1I5,VNS,3656,3176,48,3.058134,Yes
2I1,GRASP_Inicial,1043,813,23,0.096098,Yes
2I1,ILS,2189,1919,27,0.240695,Yes
2I1,VNS,2189,1919,27,0.713120,Yes
2I2,GRASP_Inicial,1172,932,24,0.094943,Yes
2I2,ILS,2186,1906,28,0.243256,Yes
2I2,VNS,2123,1873,25,0.616243,Yes
2I3,GRASP_Inicial,867,616,25,0.098146,Yes
2I3,ILS,2225,1944,27,0.227555,Yes
2I3,VNS,2256,1976,28,0.654619,Yes
2I4,GRASP_Inicial,778,558,22,0.087907,Yes
2I4,ILS,2345,2075,27,0.238110,Yes
2I4,VNS,2136,1886,25,0.607956,Yes
2I5,GRASP_Inicial,1177,927,25,0.094556,Yes
2I5,ILS,2170,1890,28,0.309636,Yes
2I5,VNS,2194,1894,30,0.853583,Yes
3I1,GRASP_Inicial,390,240,15,0.053403,Yes
3I1,ILS,1494,1304,19,0.122658,Yes
3I1,VNS,1534,1344,19,0.356253,Yes
3I2,GRASP_Inicial,626,466,16,0.051751,Yes
3I2,ILS,1483,1293,19,0.129733,Yes
3I2,VNS,1691,1501,19,0.365985,Yes
3I3,GRASP_Inicial,612,452,16,0.050257,Yes
3I3,ILS,1659,1459,20,0.122172,Yes
3I3,VNS,1586,1416,17,0.344156,Yes
3I4,GRASP_Inicial,709,529,18,0.055344,Yes
3I4,ILS,1590,1410,18,0.127075,Yes
3I4,VNS,1644,1464,18,0.335595,Yes
3I5,GRASP_Inicial,826,646,18,0.052864,Yes
3I5,ILS,1748,1538,21,0.143987,Yes
3I5,VNS,1630,1440,19,0.366196,Yes
4I1,GRASP_Inicial,467,337,13,0.038059,Yes
4I1,ILS,1238,1088,15,0.073229,Yes
4I1,VNS,1219,1069,15,0.237785,Yes
4I2,GRASP_Inicial,408,298,11,0.035004,Yes
4I2,ILS,1204,1054,15,0.075554,Yes
4I2,VNS,1204,1054,15,0.219535,Yes
4I3,GRASP_Inicial,413,303,11,0.028300,Yes
4I3,ILS,1256,1116,14,0.086860,Yes
4I3,VNS,1256,1116,14,0.223971,Yes
4I4,GRASP_Inicial,534,404,13,0.035590,Yes
4I4,ILS,1063,923,14,0.092105,Yes
4I4,VNS,1063,923,14,0.269913,Yes
4I5,GRASP_Inicial,406,286,12,0.033935,Yes
4I5,ILS,1214,1074,14,0.083084,Yes
4I5,VNS,1200,1060,14,0.247166,Yes
5I1,GRASP_Inicial,3103,2303,80,2.248751,Yes
5I1,ILS,7246,6316,93,10.836895,Yes
5I1,VNS,7589,6609,98,30.199113,Yes
5I2,GRASP_Inicial,3501,2661,84,2.304427,Yes
5I2,ILS,7062,6142,92,13.924497,Yes
5I2,VNS,6846,5916,93,36.283067,Yes
5I3,GRASP_Inicial,3322,2512,81,2.142812,Yes
5I3,ILS,7239,6319,92,10.429008,Yes
5I3,VNS,7364,6424,94,25.371781,Yes
5I4,GRASP_Inicial,3525,2645,88,2.295173,Yes
5I4,ILS,7442,6452,99,12.961419,Yes
5I4,VNS,7404,6424,98,30.919938,Yes
5I5,GRASP_Inicial,3312,2492,82,2.144293,Yes
5I5,ILS,6753,5823,93,13.827097,Yes
5I5,VNS,6753,5823,93,35.614657,Yes
6I1,GRASP_Inicial,2852,2122,73,1.673582,Yes
6I1,ILS,6125,5305,82,10.107548,Yes
6I1,VNS,6390,5550,84,24.618424,Yes
6I2,GRASP_Inicial,2727,2017,71,1.622350,Yes
6I2,ILS,6322,5512,81,7.643402,Yes
6I2,VNS,6393,5573,82,18.277209,Yes
6I3,GRASP_Inicial,3174,2444,73,1.730472,Yes
6I3,ILS,6128,5308,82,9.387127,Yes
6I3,VNS,6336,5516,82,25.207285,Yes
6I4,GRASP_Inicial,2837,2107,73,1.605248,Yes
