InstanceKey,Method_etapa3,Method_etapa2,Profit_etapa3,Profit_etapa2,Time_etapa3,Time_etapa2,ProfitGain_%,TimeRatio
16I4,VNS,VND,39319,35707,185.699148,18.237789,10.115663595373455,10.182108587833756
16I5,ILS,VND,36014,36014,72.887264,21.640891,0.0,3.3680343383273823
17I1,ILS,HillClimbing,21925,20470,17.072946,2.291678,7.107962872496336,7.449975956482543
17I2,VNS,VND,23794,20720,29.207353,5.067854,14.835907335907336,5.763258570590235
17I3,ILS,HillClimbing,21924,20723,16.363742,2.684299,5.795492930560247,6.0960951071397025
17I4,ILS,VND,21194,20010,15.535667,4.388644,5.917041479260369,3.5399697491981574
17I5,VNS,HillClimbing,21580,20652,42.77251,2.913526,4.493511524307573,14.680668715501422
18I1,ILS,VND,15704,14660,6.707655,1.077526,7.121418826739427,6.2250516460855705
18I2,VNS,VND,16181,15946,17.840866,1.675191,1.473723817885363,10.65004886010013
18I3,ILS,HillClimbing,15538,16178,6.251484,1.345814,-3.955989615527259,4.645132239670563
18I4,ILS,VND,15944,14530,7.142905,1.534162,9.731589814177562,4.655900093992681
18I5,VNS,VND,15592,15059,19.378547,0.987965,3.539411647519756,19.614608817113968
19I1,VNS,VND,13012,11121,8.996044,0.431281,17.003866558762702,20.858892462223004
19I2,VNS,HillClimbing,12735,12600,9.423692,0.499792,1.0714285714285714,18.855227774754297
19I3,ILS,VND,12462,10992,3.073665,0.476121,13.373362445414847,6.455638377639297
19I4,VNS,HillClimbing,13040,12129,9.333535,0.442344,7.510924231181466,21.100173168393827
19I5,ILS,HillClimbing,12467,10412,3.390154,0.340339,19.736842105263158,9.961109364486585
1I1,VNS,VND,3770,3562,2.397934,0.100671,5.839416058394161,23.819511080648844
1I2,ILS,VND,3682,3549,0.922233,0.101133,3.7475345167652856,9.119011598587997
1I3,VNS,VND,3503,3017,2.167481,0.066943,16.10871726881008,32.37800815619258
1I4,ILS,VND,3720,3701,0.722762,0.082634,0.5133747635774115,8.746545005687732
1I5,VNS,VND,3656,3396,3.058134,0.071938,7.656065959952886,42.5106897606272
20I1,VNS,VND,10566,7778,6.643792,0.243008,35.844690151709955,27.339807742954967
20I2,VNS,VND,10469,9976,5.327883,0.452644,4.941860465116279,11.770581295676072
20I3,VNS,HillClimbing,10971,9290,5.287825,0.245205,18.094725511302475,21.564915071062988
20I4,VNS,VND,9833,9265,6.27755,0.343278,6.1305990286022665,18.28707345067263
20I5,ILS,VND,10803,9523,2.470213,0.329451,13.441142497112255,7.497967831331519
2I1,ILS,VND,2189,2128,0.240695,0.016827,2.8665413533834583,14.30409460985321
2I2,ILS,VND,2186,2010,0.243256,0.016361,8.756218905472638,14.86803985086486
2I3,VNS,VND,2256,1875,0.654619,0.030374,20.32,21.551952327648642
2I4,ILS,HillClimbing,2345,2001,0.23811,0.019858,17.191404297851072,11.990633497834624
2I5,VNS,VND,2194,1985,0.853583,0.016057,10.52896725440806,53.159556579684875
3I1,VNS,VND,1534,1385,0.356253,0.007278,10.75812274368231,48.949299258037925
3I2,VNS,VND,1691,1391,0.365985,0.006363,21.567217828900073,57.51768033946252
3I3,ILS,VND,1659,1437,0.122172,0.009151,15.44885177453027,13.350672057698613
3I4,VNS,VND,1644,1346,0.335595,0.006687,22.13967310549777,50.186182144459394
3I5,ILS,VND,1748,1341,0.143987,0.00813,30.350484712900823,17.710578105781057
4I1,ILS,HillClimbing,1238,1156,0.073229,0.004723,7.093425605536333,15.504763921236503
4I2,ILS,VND,1204,1004,0.075554,0.003225,19.9203187250996,23.427596899224806
4I3,ILS,VND,1256,976,0.08686,0.003566,28.688524590163933,24.357823892316322
4I4,ILS,VND,1063,1063,0.092105,0.005218,0.0,17.651399003449598
4I5,ILS,VND,1214,1060,0.083084,0.005174,14.528301886792452,16.05798221878624
5I1,VNS,HillClimbing,7589,6963,30.199113,2.100082,8.990377710756858,14.379968496468233
5I2,ILS,HillClimbing,7062,7087,13.924497,2.026654,-0.3527585720333004,6.870682908873444
5I3,VNS,VND,7364,6881,25.371781,2.459875,7.019328585961343,10.314256212205905
5I4,ILS,VND,7442,7178,12.961419,2.029501,3.677904708832544,6.386505352793617
5I5,ILS,HillClimbing,6753,6968,13.827097,2.349715,-3.0855338691159586,5.884584726232755
6I1,VNS,VND,6390,5896,24.618424,1.475328,8.378561736770692,16.686746269304184
6I2,VNS,VND,6393,6126,18.277209,1.588067,4.35847208619001,11.509091870808977
6I3,VNS,VND,6336,5907,25.207285,1.586142,7.262569832402235,15.89219943737698
6I4,ILS,VND,6535,5922,8.465655,1.086064,10.351232691658224,7.794803068695768
6I5,VNS,VND,7057,6611,17.879184,1.61291,6.746331871123884,11.085047522800403
7I1,VNS,HillClimbing,5764,5639,18.671618,1.083454,2.2167050895548854,17.23342015443203
7I2,VNS,HillClimbing,5615,5463,16.684806,1.160931,2.7823540179388617,14.371918744524868
7I3,VNS,VND,5876,5292,13.294968,1.225581,11.035525321239607,10.847890102734947
7I4,VNS,VND,5592,5379,16.184035,1.391317,3.959843837144451,11.632169376209736
7I5,VNS,VND,5794,5231,15.436237,1.052182,10.76276046645001,14.67069100212701
8I1,VNS,VND,5151,4805,11.633409,0.822081,7.200832466181062,14.1511712349513
8I2,VNS,HillClimbing,4995,4404,13.750916,0.521886,13.419618528610355,26.34850522911134
8I3,VNS,HillClimbing,5053,4695,12.642155,0.725799,7.625133120340788,17.4182590496818
8I4,VNS,HillClimbing,5155,4765,12.444066,0.810808,8.184679958027283,15.347734605479966
8I5,ILS,VND,5311,5164,4.299407,0.942255,2.8466305189775367,4.562891149423458
9I1,ILS,VND,4899,4401,4.134569,0.53924,11.315610088616223,7.667400415399451
9I2,VNS,VND,4542,4155,10.700476,0.75548,9.314079422382672,14.163811086991052
9I3,ILS,HillClimbing,4641,4408,4.622659,0.607915,5.28584392014519,7.60412064186605
9I4,VNS,HillClimbing,5192,4580,8.981568,0.553446,13.362445414847162,16.228445051549745
9I5,ILS,VND,5080,4641,3.580014,0.773376,9.459168282697695,4.629073051142006
