InstanceKey,Method_etapa3,Method_etapa2,Profit_etapa3,Profit_etapa2,Time_etapa3,Time_etapa2,ProfitGain_%,TimeRatio
10I1,VNS,HillClimbing,4641,4324,7.548997,0.473971,7.331174838112858,15.927128453006619
10I2,VNS,VND,4703,4218,10.607792,0.470799,11.498340445708868,22.531466719343072
10I3,ILS,VND,4377,3794,2.867296,0.422472,15.36636794939378,6.786949194266128
10I4,VNS,VND,4606,4107,8.088402,0.449289,12.149987825663501,18.0026708866676
10I5,ILS,HillClimbing,4363,4027,2.936257,0.438926,8.343680158927242,6.689640167135234
11I1,ILS,VND,33873,32471,44.210619,11.044783,4.31769886976071,4.002850848223998
11I2,VNS,VND,36566,34033,79.427128,9.086008,7.442776129051215,8.741696903634688
11I3,VNS,VND,34918,31931,89.045844,11.588488,9.35454573925026,7.683991561280471
11I4,ILS,VND,35297,32757,37.94814,9.86878,7.754067832829624,3.8452716546523487
11I5,ILS,VND,36090,34925,42.505253,12.973351,3.3357193987115243,3.276351113910354
12I1,VNS,HillClimbing,21710,19767,24.32441,2.175728,9.829513836191632,11.179894729488245
12I2,VNS,VND,21071,19405,27.166956,1.858893,8.585416129863438,14.614588359846424
12I3,VNS,HillClimbing,20817,20058,21.935273,1.929166,3.7840263236613816,11.370339825603395
12I4,VNS,HillClimbing,21966,21342,20.428193,2.164375,2.9238122012932246,9.43837967080566
12I5,VNS,VND,21960,19497,22.364636,2.04516,12.63271272503462,10.93539674157523
13I1,ILS,VND,15339,13031,3.934732,0.793431,17.71161077430742,4.9591357030416
13I2,VNS,HillClimbing,15549,14759,10.488992,0.670408,5.352666169794702,15.645684419040345
13I3,VNS,HillClimbing,15344,14213,9.912803,0.607192,7.957503693801449,16.325648229884454
13I4,ILS,HillClimbing,16031,13924,4.438647,0.607352,15.132145935076128,7.308195247566484
13I5,VNS,VND,14763,13581,11.624544,0.955945,8.703335542301744,12.160264450360637
14I1,VNS,VND,11600,11225,5.778144,0.552939,3.34075723830735,10.449876026107763
14I2,ILS,VND,11938,11740,2.225898,0.437265,1.686541737649063,5.090501183492847
14I3,ILS,VND,11688,10635,2.499527,0.344487,9.901269393511988,7.255794848571935
14I4,VNS,VND,11848,11559,6.16423,0.318722,2.500216281685267,19.340459710970688
14I5,VNS,VND,12508,10538,5.867031,0.302886,18.694249383184665,19.370426497097917
15I1,VNS,HillClimbing,9459,9682,4.595191,0.208852,-2.303243131584383,22.002140271579872
15I2,VNS,HillClimbing,9673,8590,4.814759,0.133446,12.607683352735737,36.08020472700567
15I3,VNS,VND,11031,8831,3.807604,0.248027,24.91224096931265,15.35157059513682
15I4,VNS,VND,10450,9238,4.1301,0.306687,13.119722883741069,13.466824482289761
15I5,VNS,VND,9735,9363,4.498531,0.179657,3.9730855495033643,25.03955314849964
16I1,VNS,HillClimbing,37258,33911,176.593874,12.385716,9.869953702338474,14.257865592913642
16I2,ILS,VND,38085,36693,79.553256,17.204766,3.7936391137274135,4.623908049664843
16I3,ILS,VND,39696,38259,61.816306,28.262361,3.755978985336784,2.187230783726809
