InstanceKey,Method_etapa3,Method_etapa1,Profit_etapa3,Profit_etapa1,Time_etapa3,Time_etapa1,ProfitGain_%,TimeRatio
6I3,VNS,Greedy_MaxProfit,6336,6008,25.207285,0.000453,5.459387483355526,55645.220750551875
6I4,ILS,Greedy_MaxProfit,6535,6319,8.465655,0.000455,3.418262383288495,18605.835164835164
6I5,VNS,Greedy_MaxProfit,7057,5980,17.879184,0.000463,18.010033444816052,38615.94816414687
7I1,VNS,Greedy_MaxProfit,5764,5253,18.671618,0.000367,9.727774604987626,50876.34332425068
7I2,VNS,Greedy_MaxProfit,5615,5429,16.684806,0.000452,3.426045312212194,36913.28761061947
7I3,VNS,Greedy_MaxProfit,5876,5228,13.294968,0.000414,12.394797245600612,32113.449275362324
7I4,VNS,Greedy_MaxProfit,5592,4793,16.184035,0.000377,16.67014395994158,42928.47480106101
7I5,VNS,Greedy_MaxProfit,5794,5617,15.436237,0.000425,3.1511482998041656,36320.55764705883
8I1,VNS,Greedy_MaxProfit,5151,4651,11.633409,0.00054,10.75037626316921,21543.35
8I2,VNS,Greedy_MaxProfit,4995,5178,13.750916,0.000363,-3.5341830822711473,37881.311294765845
8I3,VNS,Greedy_MaxProfit,5053,4268,12.642155,0.00038,18.39268978444236,33268.82894736842
8I4,VNS,Greedy_MaxProfit,5155,5145,12.444066,0.000435,0.1943634596695821,28607.048275862067
8I5,ILS,Greedy_MaxProfit,5311,5056,4.299407,0.000397,5.043512658227848,10829.740554156173
9I1,ILS,Greedy_MaxProfit,4899,4591,4.134569,0.000472,6.708778043999129,8759.680084745763
9I2,VNS,Greedy_MaxProfit,4542,4240,10.700476,0.000359,7.122641509433962,29806.339832869082
9I3,ILS,Greedy_MaxProfit,4641,4383,4.622659,0.000388,5.886379192334018,11914.069587628865
9I4,VNS,Greedy_MaxProfit,5192,4654,8.981568,0.000392,11.55994843145681,22912.16326530612
9I5,ILS,Greedy_MaxProfit,5080,4308,3.580014,0.00035,17.920148560817083,10228.611428571428
