InstanceKey,Profit_ILS,Profit_VNS,Time_ILS,Time_VNS,BestProfit,Gap_ILS_%,Gap_VNS_%,Profit_Diff_VNS_minus_ILS,Time_Ratio_VNS_over_ILS
20I4,9726,9833,2.406803,6.27755,9833,1.0881724804230652,0.0,107,2.6082525241991137
20I5,10803,10610,2.470213,5.111315,10803,0.0,1.7865407757104508,-193,2.0691798642465242
2I1,2189,2189,0.240695,0.71312,2189,0.0,0.0,0,2.962753692432331
2I2,2186,2123,0.243256,0.616243,2186,0.0,2.8819762122598354,-63,2.5333105863781364
2I3,2225,2256,0.227555,0.654619,2256,1.374113475177305,0.0,31,2.876750675660829
2I4,2345,2136,0.23811,0.607956,2345,0.0,8.912579957356078,-209,2.55325689807232
2I5,2170,2194,0.309636,0.853583,2194,1.0938924339106655,0.0,24,2.756730483535506
3I1,1494,1534,0.122658,0.356253,1534,2.607561929595828,0.0,40,2.9044416181578043
3I2,1483,1691,0.129733,0.365985,1691,12.300413956238913,0.0,208,2.8210632606969703
3I3,1659,1586,0.122172,0.344156,1659,0.0,4.400241109101868,-73,2.8169793406017747
3I4,1590,1644,0.127075,0.335595,1644,3.2846715328467155,0.0,54,2.640920716112532
3I5,1748,1630,0.143987,0.366196,1748,0.0,6.750572082379863,-118,2.5432573774021265
4I1,1238,1219,0.073229,0.237785,1238,0.0,1.5347334410339257,-19,3.2471425255021917
4I2,1204,1204,0.075554,0.219535,1204,0.0,0.0,0,2.905670116737698
4I3,1256,1256,0.08686,0.223971,1256,0.0,0.0,0,2.57852866682017
4I4,1063,1063,0.092105,0.269913,1063,0.0,0.0,0,2.9304923728353507
4I5,1214,1200,0.083084,0.247166,1214,0.0,1.1532125205930808,-14,2.9748928794954503
5I1,7246,7589,10.836895,30.199113,7589,4.5196995651601,0.0,343,2.7866942514437945
5I2,7062,6846,13.924497,36.283067,7062,0.0,3.058623619371283,-216,2.6057003710798314
5I3,7239,7364,10.429008,25.371781,7364,1.6974470396523629,0.0,125,2.4328086621469653
5I4,7442,7404,12.961419,30.919938,7442,0.0,0.5106154259607633,-38,2.3855364910277186
5I5,6753,6753,13.827097,35.614657,6753,0.0,0.0,0,2.575714699911341
6I1,6125,6390,10.107548,24.618424,6390,4.147104851330203,0.0,265,2.43564749828544
6I2,6322,6393,7.643402,18.277209,6393,1.11058970749257,0.0,71,2.391240052531582
6I3,6128,6336,9.387127,25.207285,6336,3.2828282828282833,0.0,208,2.685303501273606
6I4,6535,6289,8.465655,23.00141,6535,0.0,3.7643458301453716,-246,2.717026621094292
6I5,6969,7057,7.728705,17.879184,7057,1.2469888054414058,0.0,88,2.313347967091511
7I1,5683,5764,8.010508,18.671618,5764,1.4052741151977794,0.0,81,2.330890625163847
7I2,5529,5615,6.900007,16.684806,5615,1.5316117542297418,0.0,86,2.418085372956868
7I3,5836,5876,4.813999,13.294968,5876,0.6807351940095302,0.0,40,2.761730527987231
7I4,5452,5592,6.326233,16.184035,5592,2.503576537911302,0.0,140,2.5582420059457185
7I5,5643,5794,6.301723,15.436237,5794,2.6061442871936484,0.0,151,2.449526423170298
8I1,5146,5151,4.986986,11.633409,5151,0.09706853038245,0.0,5,2.3327534907858176
8I2,4976,4995,4.918152,13.750916,4995,0.38038038038038036,0.0,19,2.7959518127947245
8I3,5022,5053,4.170391,12.642155,5053,0.6134969325153374,0.0,31,3.031407606624894
8I4,4559,5155,5.334447,12.444066,5155,11.561590688651794,0.0,596,2.3327752623655273
8I5,5311,5305,4.299407,10.725307,5311,0.0,0.1129730747505178,-6,2.4946014648066583
9I1,4899,4535,4.134569,10.772107,4899,0.0,7.430087773014901,-364,2.6053760379860633
9I2,4259,4542,4.756589,10.700476,4542,6.230735358872743,0.0,283,2.249611223504911
9I3,4641,4477,4.622659,10.98811,4641,0.0,3.533721180780004,-164,2.377010720453315
9I4,4653,5192,3.085683,8.981568,5192,10.38135593220339,0.0,539,2.910722844828843
9I5,5080,4987,3.580014,10.579328,5080,0.0,1.830708661417323,-93,2.9551079967843705
