comparison,n_instances,mean_profit_gain_pct,median_profit_gain_pct,mean_time_ratio_stage3_over_other,median_time_ratio_stage3_over_other,profit_pvalue,time_pvalue,profit_cliffs_delta,time_cliffs_delta,profit_effect,time_effect
Etapa3_vs_Etapa2,100,9.248252523601977,8.071091825914365,14.873475470868911,13.408748269994188,1.7651653711434732e-16,3.8965598450959084e-18,0.0676,-0.652,negligível,grande
Etapa3_vs_Etapa1,100,10.40692898823693,9.874193311689943,21244.292776878458,13954.55006182554,7.115891930123243e-18,3.8965598450959084e-18,0.0713,-1.0,negligível,grande
